tweet_id,favorites,retweets
892420643555336193,33695,6969
892177421306343426,29218,5272
891815181378084864,21973,3464
891689557279858688,36782,7191
891327558926688256,35178,7715
891087950875897856,17746,2585
890971913173991426,10327,1646
890729181411237888,56651,15679
890609185150312448,24422,3604
890240255349198849,27841,6067
890006608113172480,26942,6112
889880896479866881,24484,4141
889665388333682689,41873,8303
889638837579907072,23576,3700
889531135344209921,13312,1873
889278841981685760,22026,4419
888917238123831296,25531,3742
888804989199671297,22387,3513
888554962724278272,17248,2862
888078434458587136,19096,2885
887705289381826560,26525,4515
887517139158093824,40580,9810
887473957103951883,59977,14953
887343217045368832,29483,8774
887101392804085760,26896,4968
886983233522544640,30244,6287
886736880519319552,10454,2616
886680336477933568,19654,3719
886366144734445568,18486,2613
886267009285017600,105,4
886258384151887873,24440,5254
886054160059072513,0,93
885984800019947520,28494,5590
885528943205470208,31478,5306
885518971528720385,17941,3097
885311592912609280,0,15365
885167619883638784,19182,3652
884925521741709313,67008,14943
884876753390489601,24295,4640
884562892145688576,21234,3895
884441805382717440,23778,4776
884247878851493888,63002,16822
884162670584377345,17885,2493
883838122936631299,19089,2849
883482846933004288,40040,8222
883360690899218434,19874,3061
883117836046086144,32385,5512
882992080364220416,20912,3229
882762694511734784,24692,4077
882627270321602560,24526,5042
882268110199369728,39029,9582
882045870035918850,25625,4066
881906580714921986,21373,2839
881666595344535552,44380,8912
881633300179243008,113,8
881536004380872706,43276,13347
881268444196462592,20426,4481
880935762899988482,14996,2325
880872448815771648,18655,3191
880465832366813184,24924,5192
880221127280381952,23574,3448
880095782870896641,24234,3634
879862464715927552,19635,2913
879674319642796034,282,9
879492040517615616,20642,2619
879415818425184262,92487,37258
879376492567855104,14807,2634
879130579576475649,0,5710
879050749262655488,19738,3935
879008229531029506,16722,2230
878776093423087618,17081,3418
878604707211726852,26350,5897
878404777348136964,0,1070
878316110768087041,0,5501
878281511006478336,6753,1070
878057613040115712,37017,5710
877736472329191424,69027,15733
877611172832227328,0,70
877556246731214848,19834,3151
877316821321428993,24069,4321
877201837425926144,23792,4602
876838120628539392,18163,2795
876537666061221889,20989,3961
876484053909872640,16509,1989
876120275196170240,24608,3890
875747767867523072,22032,3566
875144289856114688,19364,4131
875097192612077568,24168,5092
875021211251597312,22490,3954
874680097055178752,24519,3906
874434818259525634,0,12159
874296783580663808,22876,3470
874057562936811520,20048,3368
874012996292530176,30020,8551
873580283840344065,21303,3333
873337748698140672,0,1327
873213775632977920,6300,1327
872967104147763200,23971,4545
872820683541237760,13026,3157
872620804844003328,18264,3058
872486979161796608,35990,7682
